2026-03-14 16:11:54 | INFO     | tts_engine.py:26 | TTS 출력: 네, 말씀하세요.
2026-03-14 16:11:55 | INFO     | vad_recorder.py:25 | 발화 대기 및 녹음 시작...
2026-03-14 16:11:58 | INFO     | vad_recorder.py:46 | 묵음 감지됨. 녹음 종료.
2026-03-14 16:11:58 | INFO     | vad_recorder.py:66 | 임시 오디오 저장 완료: temp_command.wav
2026-03-14 16:11:58 | INFO     | stt_engine.py:24 | 음성 인식 분석 시작: temp_command.wav
2026-03-14 16:11:59 | INFO     | stt_engine.py:29 | STT 인식 결과: 유튜브 켜줘
2026-03-14 16:11:59 | INFO     | intent_analyzer.py:80 | 의도 추론 결과: '유튜브 켜줘' -> youtube_play (Score: 0.92)
2026-03-14 16:11:59 | INFO     | action_dispatcher.py:28 | 액션 매핑 성공 및 실행: execute_youtube_search
2026-03-14 16:11:59 | INFO     | app_controller.py:19 | 유튜브 브라우저 실행
2026-03-14 16:12:04 | INFO     | tts_engine.py:26 | TTS 출력: 명령을 수행했습니다.
2026-03-14 16:12:04 | INFO     | main.py:71 | 명령 처리 완료. 다시 호출어 대기 모드로 돌아갑니다.
2026-03-14 16:12:05 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:06 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:06 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:08 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:08 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:08 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:08 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:11 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:11 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:11 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:11 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:12 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:12 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:12 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:12 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:12 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:12 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:12 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:12 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:12 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:12 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:12 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:12 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:16 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:16 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:17 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:17 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:17 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:17 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:17 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:17 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:17 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:17 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:17 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:17 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:17 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:17 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:17 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:17 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:39 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:39 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:39 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:39 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:39 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:39 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:39 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:39 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:39 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:39 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:43 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:43 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:44 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:44 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:44 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:44 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:44 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:44 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:44 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:44 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:45 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:45 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:45 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:45 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:45 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:45 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:45 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:45 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:45 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:45 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:46 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:46 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:46 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:46 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:46 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:46 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:46 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:46 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:46 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:46 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:47 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:47 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:47 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:47 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:47 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:47 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:47 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:47 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:47 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:47 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:48 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:48 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:16:48 | INFO     | wake_word.py:56 | 호출어 대기 중단
2026-03-14 16:16:48 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
